Ref,Block,Population,Value,Ordered MPN
C1,USB connector/shield/CC,FIT,1n,CL10B102KB8NNNC
C2,Charger and USB indicator,FIT,10u,CL10A106KP8NNNC
C3,Charger and USB indicator,FIT,10u,CL10A106KP8NNNC
C4,Power mux,FIT,22u,TCC0805X5R226M250FT
C5,"Processor, boot, reset, UART",FIT,1u,CL10A105KB8NNNC
C6,3.3 V regulator,FIT,22u,TCC0805X5R226M250FT
C7,"Battery connector, protection, polarity",FIT,0.1u,CC0603KRX7R9BB104
C8,Battery ADC,FIT,1u,CL10A105KB8NNNC
C9,"Frontlight boost, selection and ADC",FIT,1u/50V,CL21B105KBFNNNE
C10,"E-paper connector, power and logic",FIT,4.7u,CL10A475KO8NNNC
C11,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C12,"Frontlight boost, selection and ADC",FIT,4.7u,CL10A475KO8NNNC
C13,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C14,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C15,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C16,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C17,"E-paper connector, power and logic",FIT,4.7u/50V,CL21A475KBQNNNE
C18,"E-paper connector, power and logic",FIT,1u,CL21B105KBFNNNE
C19,"E-paper connector, power and logic",FIT,1u,CL21B105KBFNNNE
C20,"E-paper connector, power and logic",FIT,1u/50V,CL21B105KBFNNNE
C21,3.3 V regulator,FIT,1u,CL10A105KB8NNNC
C22,"Processor, boot, reset, UART",FIT,1u,CL10A105KB8NNNC
C23,USB status ADC,FIT,2.2n,0603B222K500NT
C24,"Frontlight boost, selection and ADC",FIT,100n,CC0603KRX7R9BB104
C25,Power mux,FIT,1u,CL10A105KB8NNNC
C26,Power mux,FIT,1u,CL10A105KB8NNNC
C27,Buttons and alternate wake link,FIT,2.2n,0603B222K500NT
C28,Buttons and alternate wake link,FIT,2.2n,0603B222K500NT
C29,Power/wake button,FIT,2.2n,0603B222K500NT
C30,Optional RTC,FIT,0.1u,CC0603KRX7R9BB104
C31,"Frontlight boost, selection and ADC",FIT,100n,CC0603KRX7R9BB104
C32,"Processor, boot, reset, UART",FIT,22u,TCC0805X5R226M250FT
C33,"Processor, boot, reset, UART",FIT,0.1u,CC0603KRX7R9BB104
C36,SDMMC and power gating,FIT,0.1u,CC0603KRX7R9BB104
C37,SDMMC and power gating,FIT,1u,CL10A105KB8NNNC
CR1,USB ESD,FIT,TSD05CDYFR,SD05C
CR2,Expansion and shared ESD,FIT,TSD05CDYFR,SD05C
CR3,Expansion and shared ESD,FIT,TSD05CDYFR,SD05C
D2,Charger and USB indicator,FIT,LED,P2-1206RTCS2-0.9T-F
D3,Expansion and shared ESD,FIT,SMAJ26A,SMAJ26A
D4,"E-paper connector, power and logic",FIT,B5819W,B5819W
D5,"E-paper connector, power and logic",FIT,B5819W,B5819W
D6,"E-paper connector, power and logic",FIT,B5819W,B5819W
D8,Expansion and shared ESD,FIT,PESD2IVN-UX,PESD2IVN-UX
F1,USB connector/shield/CC,FIT,0805L100WR,0805L100WR
H1,Mounting,MECHANICAL/BARE PAD,MountingHole_Pad,
H2,Mounting,MECHANICAL/BARE PAD,MountingHole_Pad,
H3,Mounting,MECHANICAL/BARE PAD,MountingHole_Pad,
H4,Mounting,MECHANICAL/BARE PAD,MountingHole_Pad,
H5,Mounting,MECHANICAL/BARE PAD,MountingHole_Pad,
J1,USB connector/shield/CC,FIT,USB_C_Receptacle,USB4085-GF-A
J2,"E-paper connector, power and logic",FIT,FH34SRJ-24S-0.5SH_50_,FH34SRJ-24S-0.5SH(50)
J3,"Frontlight boost, selection and ADC",FIT,FH34SRJ-6S-0.5SH_50_,FH34SRJ-6S-0.5SH(50)
J4,Touch connector and links,FIT,FH34SRJ-6S-0.5SH_50_,FH34SRJ-6S-0.5SH(50)
J5,"Battery connector, protection, polarity",FIT,Conn_01x02,A2001WR-2P
J6,Expansion and shared ESD,FIT,PPPC062LJBN-RC,A2541HWR-2x6P
J7,SDMMC and power gating,FIT,Micro_SD_Card,TF PUSH
L1,"E-paper connector, power and logic",FIT,22u,VLS3012HBX-220M
L2,"Frontlight boost, selection and ADC",FIT,4.7u,VLS252010HBX-4R7M-1
Q1,"Battery connector, protection, polarity",FIT,FS8205A,FS8205A
Q3,"Battery connector, protection, polarity",FIT,AO3419,AO3419
Q4,"E-paper connector, power and logic",FIT,BSS138,BSS138
Q5,"Frontlight boost, selection and ADC",FIT,BSS138,BSS138
Q6,"Frontlight boost, selection and ADC",FIT,BSS138,BSS138
Q7,SDMMC and power gating,FIT,AO3419,AO3419
