Ref,Schematic value,Ordered MPN,Manufacturer,Ordered LCSC,Upload LCSC,Population,PCB DNP flag,Passive value check,Review,Order description
C1,1n,CL10B102KB8NNNC,Samsung Electro-Mechanics,C1588,C1588,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C2,10u,CL10A106KP8NNNC,Samsung Electro-Mechanics,C19702,C19702,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C3,10u,CL10A106KP8NNNC,Samsung Electro-Mechanics,C19702,C19702,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C4,22u,TCC0805X5R226M250FT,CCTC,C20416420,C20416420,FIT,False,match,22uF/25V X5R CCTC matches nominal value/package. Effective capacitance at bias and temperature not established from catalog.,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C5,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C6,22u,TCC0805X5R226M250FT,CCTC,C20416420,C20416420,FIT,False,match,22uF/25V X5R CCTC matches nominal value/package. Effective capacitance at bias and temperature not established from catalog.,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C7,0.1u,CC0603KRX7R9BB104,YAGEO,C14663,C14663,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C8,1u,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,C15849,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C9,1u/50V,CL21B105KBFNNNE,Samsung Electro-Mechanics,C28323,C28323,FIT,False,match,1uF/50V X7R retained. C9 needs sufficient effective output capacitance for LED converter.,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C10,4.7u,CL10A475KO8NNNC,Samsung Electro-Mechanics,C19666,C19666,FIT,False,match,Nominal value/package and connected role reviewed; see block-coverage.csv and root DESIGN_REVIEW.md for operating limits.,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
