Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1n,C1588
"C10, C12",0603,2,4.7u,C19666
"C11, C13, C14, C15, C16, C17, C9",0805,7,4.7u/50V,C513770
"C18, C19",0805,2,1u,C28323
"C2, C3",0603,2,10u,C19702
C20,0805,1,1u/50V,C28323
"C21, C22, C25, C26, C37, C5, C8",0603,7,1u,C15849
"C23, C27, C28, C29",0603,4,2.2n,C1604
"C24, C31",0603,2,100n,C14663
"C30, C33, C36, C7",0603,4,0.1u,C14663
"C32, C4, C6",0805,3,22u,C20416420
CR1,D_SMF,1,SMF6.5CA,C19077501
"CR2, CR3",D_SOD-323_HandSoldering,2,TSD05CDYFR,C5299440
D2,1206,1,LED,C28310439
D3,D_SMA,1,SMAJ26A,C19077543
"D4, D5, D6",D_SOD-123,3,B5819W,C8598
D8,SOT-323_SC-70_Handsoldering,1,PESD2IVN-UX,C42370512
F1,0805,1,0805L100WR,C269106
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle,C7095263
J2,HRS_FH34SRJ-24S-0.5SH_50_,1,FH34SRJ-24S-0.5SH_50_,C324726
"J3, J4",HRS_FH34SRJ-6S-0.5SH_50_,2,FH34SRJ-6S-0.5SH_50_,C224194
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,C48579993
J6,CONN_PPPC062LJBN-RC_SUL,1,PPPC062LJBN-RC,C5333437
J7,microSD_PushPush_TFPUSH-MEM2075,1,Micro_SD_Card,C393941
L1,L_APV_ANR5040,1,47uH,C206267
L2,1008,1,10u,C88532
Q1,SOT-23-6_Handsoldering,1,FS8205A,C2830320
"Q2, Q3, Q7, Q8",SOT-23_Handsoldering,4,AO3401A,C15127
Q4,SOT-23,1,IRLML6346TRPBF,C67276
"Q5, Q6, Q9",SOT-23,3,BSS138,C7420339
"R1, R10, R12, R39, R49, R50, R57, R80, R81, R82",0603,10,1M,C22935
R11,0603,1,12k,C22790
"R13, R15, R28, R4, R5, R53, R54, R55, R56, R62, R7, R8, R9",0603,13,10k,C25804
R14,0603,1,2.2,C112307
"R16, R78",0603,2,1k,C21190
R17,0603,1,150k,C22807
R18,0603,1,5.6k,C23189
R19,0603,1,20k,C4184
"R2, R3",0603,2,5.1k,C23186
"R20, R67",0603,2,56k,C23206
"R21, R22, R23, R24, R25, R26, R29, R30, R31, R32, R33, R34, R65, R68, R69",0603,15,33,C23140
R27,0805,1,0,C17477
R35,0603,1,33k,C4216
R36,0603,1,68k,C23231
R37,0603,1,15,C22810
R38,0603,1,300k,C23024
"R40, R51, R70, R75, R76, R77, R79",0603,7,100k,C25803
R41,0603,1,120k,C25808
"R42, R44, R46, R52, R73",0603,5,0,C21189
"R47, R48",0603,2,2.2k,C4190
R59,0603,1,2k,C22975
R6,0603,1,4.7k,C23162
"R60, R61, R63, R64",0603,4,100,C22775
R71,0603,1,22k,C31850
"SW1, SW10, SW11, SW2, SW3, SW4, SW5, SW7, SW8, SW9",MJTP1117,10,SW_Push,C557598
"TP1, TP2",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
"U1, U6, U7, U8, U9",SOT-23-6_Handsoldering,5,TPD4E1U06DBVR,C19829453
U10,U_DRL0006A_6L_TEX-M,1,TPS923610DRLR,C52919131
U11,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U12,SOT-23-5_HandSoldering,1,74LVC1G04,C53185133
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,C107410
U2,SOT-583-8,1,TPS2116DRL,C3235557
U3,SOT-23-5_HandSoldering,1,TLV75533PDBV,C404027
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U5,SOT-23-6_Handsoldering,1,DW01A,C351410
