Comment,Designator,Footprint,JLCPCB Part #
1u,"C21,C22,C25,C26,C37,C5,C8",0603,C15849
100,"R60,R61,R63,R64",0603,C22775
B5819W,"D4,D5,D6",SOD-123,C64885
100n,"C30,C33,C36,C7,C24,C31",0603,C14663
3,R14,0603,C22356394
20k,R19,0603,C4184
12k,R11,0603,C22790
DW01A,U5,SOT-23-6L,C351410
TPS923610DRLR,U10,SOT-563-6,C52919131
56k,"R20,R67",0603,C23206
AO3419,"Q3,Q7,Q8",SOT-23,C88053
13.3,R37,0603,C402979
TLV75533PDBV,U3,SOT-23-5,C404027
TP4056-42-ESOP8,U11,ESOP-8,C16581
33k,R35,0603,C4216
5.6k,R18,0603,C23189
USB_C_Receptacle,J1,插件,C7095263
ESP32-S3-WROOM-1,U4,"SMD,25.5x18mm",C2913202
LED,D2,1206,C2827254
68k,R36,0603,C23231
FH34SRJ-6S-0.5SH_50_,"J3,J4","SMD,P=0.5mm,卧贴",C224194
22k,R71,0603,C31850
150k,R17,0603,C22807
BSS138,"Q4,Q5,Q6",SOT-23,C7420339
SD05C,"CR1,CR2,CR3",SOD-323,C907858
SMAJ26A,D3,SMAG,C1509531
1M,"R1,R10,R12,R39,R49,R50,R57",0603,C22935
FH34SRJ-24S-0.5SH_50_,J2,"SMD,P=0.5mm,卧贴",C324726
4.7u,"C10,C12",0603,C19666
Conn_01x02,J5,"弯插,P=2mm",C48579993
10u,"C2,C3",0603,C19702
100k,"R40,R51,R70,R75,R76,R77",0603,C25803
0805L100WR,F1,0805,C80270
2.2k,"R47,R48",0603,C4190
PPPC062LJBN-RC,J6,"弯插,P=2.54mm",C5333437
120k,R41,0603,C25808
10k,"R13,R15,R28,R4,R5,R53,R54,R55,R56,R62,R7,R8,R9",0603,C25804
22u,"C32,C4,C6",0805,C20416420
TPS2116DRL,U2,SOT-583,C3235557
2.2n,"C23,C27,C28,C29",0603,C1604
TPD4E1U06DBVR,"U1,U6,U7,U8,U9",SOT-23-6,C19829453
1n,C1,0603,C1588
1u,"C20,C9,C18,C19",0805,C28323
33,"R21,R22,R23,R24,R25,R26,R29,R30,R31,R32,R33,R34,R65,R68,R69",0603,C23140
4.7u,L2,1008,C413592
FS8205A,Q1,SOT-23-6,C2830320
300k,R38,0603,C23024
4.7k,R6,0603,C23162
0,"R27,R42,R44,R46,R52,R73",0603,C21189
4.7u/50V,"C11,C13,C14,C15,C16,C17",0805,C98192
Micro_SD_Card,J7,SMD,C393941
2k,R59,0603,C22975
SW_Push,"SW1,SW10,SW11,SW2,SW3,SW4,SW5,SW7,SW8,SW9",插件,C557598
1k,"R16,R78",0603,C21190
22u,L1,"SMD,3x3mm",C350879
74LVC1G04,U12,SOT-23-5,C53185133
5.1k,"R2,R3",0603,C23186
PESD2IVN-UX,D8,SOT-323,C42370512
DS3231MZ+  DNP (C722467 if populating),U13,SOIC-8,
SW_Push  DNP boot btn (TS365ZJ/MJTP1243 if populating),SW6,SW_PUSH_1P1T_6x3.5mm_MJTP1243,
0  DNP config jumper,"R43,R45,R58,R66,R74",0603,
10k  DNP config jumper,R72,0603,
