Comment,Designator,Footprint,JLCPCB Part #
0.1u,"C7,C30,C33,C36",0603,C14663
100n,"C24,C31",0603,C14663
10u,"C2,C3",0603,C19702
1n,C1,0603,C1588
1u,"C5,C8,C21,C22,C25,C26,C37",0603,C15849
1u,"C18,C19",0805,C28323
1u/50V,C20,0805,C28323
2.2n,"C23,C27,C28,C29",0603,C1604
22u,"C4,C6,C32",0805,C20416420
4.7u,"C10,C12",0603,C19666
4.7u/50V,"C9,C11,C13,C14,C15,C16,C17",0805,C98192
Conn_01x02,J5,"弯插,P=2mm",C48579993
FH34SRJ-24S-0.5SH_50_,J2,"SMD,P=0.5mm,卧贴",C324726
FH34SRJ-6S-0.5SH_50_,"J3,J4","SMD,P=0.5mm,卧贴",C224194
Micro_SD_Card,J7,SMD,C393941
PPPC062LJBN-RC,J6,"弯插,P=2.54mm",C5333437
USB_C_Receptacle,J1,插件,C7095263
B5819W,"D4,D5,D6",SOD-123,C64885
LED,D2,1206,C28310439
PESD2IVN-UX,D8,SOT-323,C42370512
SMAJ26A,D3,SMAG,C1509531
TSD05CDYFR,"CR2,CR3",SOD-323,C907858
SMF6.5CA,CR1,SOD-123FL,C19077501
74LVC1G04,U12,SOT-23-5,C53185133
DS3231MZ,U13,SOIC-8,C722467
DW01A,U5,SOT-23-6L,C351410
ESP32-S3-WROOM-1,U4,"SMD,25.5x18mm",C2913202
TLV75533PDBV,U3,SOT-23-5,C404027
TP4056-42-ESOP8,U11,ESOP-8,C16581
TPD4E1U06DBVR,"U1,U6,U7,U8,U9",SOT-23-6,C19829453
TPS2116DRL,U2,SOT-583,C3235557
TPS923610DRLR,U10,SOT-563-6,C52919131
0805L100WR,F1,0805,C80270
47u,L1,"SMD,5x5mm",C206267
10u,L2,1008,C88532
0,"R42,R44,R46,R52,R73",0603,C21189
0,R27,0805,C17477
100,"R60,R61,R63,R64",0603,C22775
100k,"R40,R51,R70,R75,R76,R77,R79",0603,C25803
10k,"R4,R5,R7,R8,R9,R13,R15,R28,R53,R54,R55,R56,R62",0603,C25804
120k,R41,0603,C25808
12k,R11,0603,C22790
15,R37,0603,C22810
150k,R17,0603,C22807
1M,"R1,R10,R12,R39,R49,R50,R57,R80,R81,R82",0603,C22935
1k,"R16,R78",0603,C21190
2.2k,"R47,R48",0603,C4190
20k,R19,0603,C4184
22k,R71,0603,C31850
2k,R59,0603,C22975
2.2,R14,0603,C112307
300k,R38,0603,C23024
33,"R21,R22,R23,R24,R25,R26,R29,R30,R31,R32,R33,R34,R65,R68,R69",0603,C23140
33k,R35,0603,C4216
4.7k,R6,0603,C23162
5.1k,"R2,R3",0603,C23186
5.6k,R18,0603,C23189
56k,"R20,R67",0603,C23206
68k,R36,0603,C23231
SW_Push,"SW1,SW2,SW3,SW4,SW5,SW7,SW8,SW9,SW10,SW11",插件,C557598
AO3419,"Q2,Q3,Q7,Q8",SOT-23,C88053
BSS138,"Q5,Q6,Q9",SOT-23,C7420339
FS8205A,Q1,SOT-23-6,C2830320
IRLML6346TRPBF,Q4,SOT-23,C67276
0  DNP (standard build),R43,0603,
0  DNP (standard build),R45,0603,
0  DNP (standard build),R58,0603,
0  DNP (standard build),R66,0603,
10k  DNP (standard build),R72,0603,
0  DNP (standard build),R74,0603,
APEM MJTP1243  DNP (standard build),SW6,SW_PUSH_1P1T_6x3.5mm,
TestPoint  DNP (standard build),TP3,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
TestPoint  DNP (standard build),TP4,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
TestPoint  DNP (standard build),TP5,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
