Designator,Mid X,Mid Y,Layer,Rotation
C1,102.3mm,-100mm,Bottom,0
C2,81.1mm,-94.6mm,Bottom,90
C3,81mm,-89.3437mm,Bottom,90
C4,82.1376mm,-84.0987mm,Bottom,90
C5,53.5mm,-85mm,Bottom,0
C6,75.1mm,-84.8mm,Bottom,270
C7,87.0814mm,-80.2442mm,Bottom,90
C8,68.2202mm,-89.5mm,Bottom,90
C9,46.7594mm,-122.7875mm,Bottom,90
C10,92.1mm,-110.6625mm,Bottom,90
C11,83.5669mm,-112.5064mm,Bottom,0
C12,52.3798mm,-119.7692mm,Bottom,90
C13,85.5066mm,-127.5857mm,Bottom,180
C14,85.5032mm,-125.5532mm,Bottom,180
C15,85.4959mm,-123.5299mm,Bottom,180
C16,85.5mm,-121.5mm,Bottom,180
C17,85.4919mm,-135.6766mm,Bottom,180
C18,85.522mm,-131.6062mm,Bottom,180
C19,85.5087mm,-129.6042mm,Bottom,180
C20,85.5172mm,-119.4902mm,Bottom,180
C21,74.8mm,-81.2mm,Bottom,90
C22,85.4749mm,-133.6173mm,Bottom,180
C23,74.5mm,-89.1375mm,Bottom,270
C24,50.0317mm,-133.0669mm,Bottom,90
C25,85.3685mm,-88.7mm,Bottom,0
C26,82.8818mm,-88.7179mm,Bottom,270
C27,52mm,-114.5mm,Bottom,90
C28,56.9625mm,-87.2mm,Bottom,180
C29,66.1188mm,-90.7863mm,Bottom,90
C30,60.4mm,-120.5mm,Bottom,180
C31,54.5mm,-114.5mm,Bottom,180
C32,53.5mm,-89.01mm,Bottom,0
C33,53.5mm,-87mm,Bottom,0
C36,62.5mm,-86.7mm,Bottom,0
C37,62.3mm,-88.2mm,Bottom,0
CR1,92.9mm,-100.2mm,Bottom,180
CR2,89mm,-59mm,Bottom,90
CR3,90mm,-55.9mm,Bottom,180
D2,102.8mm,-118.3442mm,Bottom,270
D3,93.446mm,-58.8mm,Bottom,180
D4,82.0669mm,-116.0064mm,Bottom,90
