Designator,Mid X,Mid Y,Rotation,Layer
C1,102.3,-100.0,180.0,bottom
C10,92.1,-110.6625,90.0,bottom
C11,83.566869,-112.506437,180.0,bottom
C12,52.379847,-119.769201,90.0,bottom
C13,85.506649,-127.585676,0.0,bottom
C14,85.503231,-125.553171,0.0,bottom
C15,85.495939,-123.529935,0.0,bottom
C16,85.5,-121.5,0.0,bottom
C17,85.491876,-135.676561,0.0,bottom
C18,85.52195,-131.606225,0.0,bottom
C19,85.508699,-129.604195,0.0,bottom
C2,81.1,-94.6,90.0,bottom
C20,85.51717,-119.490244,0.0,bottom
C21,74.8,-81.2,90.0,bottom
C22,85.474885,-133.617279,0.0,bottom
C23,74.5,-89.1375,270.0,bottom
C24,50.031659,-133.06688,90.0,bottom
C25,85.368456,-88.7,180.0,bottom
C26,82.881794,-88.717874,270.0,bottom
C27,52.0,-114.5,90.0,bottom
C28,56.9625,-87.2,0.0,bottom
C29,66.118779,-90.786267,90.0,bottom
C3,81.0,-89.343651,90.0,bottom
C30,60.4,-120.5,0.0,bottom
C31,54.5,-114.5,0.0,bottom
C32,53.5,-89.009998,180.0,bottom
C33,53.5,-87.0,180.0,bottom
C34,90.5625,-72.336009,0.0,bottom
C36,62.5,-86.7,180.0,bottom
C37,62.3,-88.2,180.0,bottom
C4,82.137557,-84.098743,90.0,bottom
C5,53.5,-85.0,180.0,bottom
C6,75.1,-84.8,270.0,bottom
C7,87.081362,-80.244239,90.0,bottom
C8,68.220185,-89.5,90.0,bottom
C9,46.75941,-122.78746,90.0,bottom
CR1,92.9,-100.2,0.0,bottom
CR2,89.0,-59.0,90.0,bottom
CR3,90.0,-55.9,0.0,bottom
D2,102.8,-118.344207,270.0,bottom
D3,93.446003,-58.8,0.0,bottom
D4,82.066869,-116.006437,90.0,bottom
D5,84.6,-116.0,90.0,bottom
D6,79.766869,-121.806437,180.0,bottom
D8,94.534209,-55.325657,0.0,bottom
F1,94.406982,-94.271871,90.0,bottom
F2,87.0,-57.0,270.0,bottom
J1,99.255,-106.95,270.0,bottom
J2,73.487462,-125.75,0.0,bottom
J3,54.237462,-126.0,0.0,bottom
J4,92.5,-126.0,0.0,bottom
